Governance Units,Provinces,Districts,Other Cancer,Cervical/Uteri cancer,Lung/Bronchial Cancer,Breast Cancer,Head & Neck Cancer,Stomach Cancer,Liver Cancer,Malignancy-Ovary Cancer,Colorectal (colon with rectum) Cancer,Malignancy-Gall bladder Cancer,Oral Cancer,Thyroid Cancer,Pancreatic Cancer,Oesophagus Cancer,Urinary bladder Cancer,Lymphoma Cancer,Bone/ Bone Marrow Cancer,Nasopharyngeal Cancer,Malignant Neoplasm without Specification of site,Other Hematological Malignant
District,Province 1,Taplejung,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Sankhuwasabha,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Solukhumbu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Okhaldhunga,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Khotang,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Bhojpur,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Dhankuta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
District,Province 1,Terhathum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Panchthar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Ilam,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
District,Province 1,Jhapa,1,0,0,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Morang,2,360,117,3,2,52,50,0,20,19,3,0,0,0,0,1,33,0,0,0
District,Province 1,Sunsari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 1,Udayapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 2,Saptari,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
District,Province 2,Siraha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
District,Province 2,Dhunasa,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
District,Province 2,Mohattari,7,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
District,Province 2,Sarlahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 2,Rautahat,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 2,Bara,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 2,Parsa,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Dolakha,4,2,8,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
District,Province 3,Sindhupalchok,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
District,Province 3,Rasuwa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
District,Province 3,Dhading,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Nuwakot,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Kathmandu,280,134,189,163,344,194,128,43,50,61,35,59,116,82,19,16,7,93,0,0
District,Province 3,Bhaktapur,552,451,310,260,289,122,38,68,143,81,188,65,48,51,61,95,72,47,0,0
District,Province 3,Lalitpur,349,1056,626,692,149,240,221,285,184,103,66,60,50,42,72,71,54,12,0,0
District,Province 3,Kavrepalanchok,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
District,Province 3,Ramechhap,2,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Sindhuli,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Makwanpur,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 3,Chitwan,137,120,223,309,121,121,117,125,72,125,121,211,38,86,94,42,29,64,0,0
District,Gandaki Province,Gorkha,2,0,2,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0
District,Gandaki Province,Manang,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Mustang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Myagdi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Kaski,1319,202,472,264,66,221,123,161,129,150,50,38,134,72,81,87,85,54,0,0
District,Gandaki Province,Lamjung,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Tanahu,1,1,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Nawalparasi East,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Syangja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Gandaki Province,Parbat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
District,Gandaki Province,Baglung,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Rukum East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Rolpa,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
District,Province 5,Pyuthan,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Gulmi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Arghakhanchi,0,6,20,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Palpa,26,35,49,19,0,4,3,3,2,12,2,5,5,4,5,0,2,0,0,0
District,Province 5,Nawalparasi West,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
District,Province 5,Rupandehi,0,0,0,4,0,0,0,0,0,0,2,15,17,0,1,0,0,0,0,0
District,Province 5,Kapilbastu,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Dang,14,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Province 5,Banke,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
District,Province 5,Bardiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Dolpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Mugu,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Humla,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Jumla,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Kalikot,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Dailekh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Jajarkot,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Rukum West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Karnali Province,Salyan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
District,Karnali Province,Surkhet,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Bajura,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Bajhang,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Darchula,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Baitadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Dadeldhura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
District,Sudurpashchim Province,Doti,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
District,Sudurpashchim Province,Achham,14,7,16,3,23,0,0,1,0,4,12,0,0,0,1,0,0,0,0,0
District,Sudurpashchim Province,Kailali,57,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District,Sudurpashchim Province,Kanchanpur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0