Governance Units,Provinces,Districts,Hypertension,Bronchial Asthma,COPD,Other Cardiovascular Problems,Rheumatic Heart Disease,Acute Rheumatic Fever,Ischemic Heart Disease,Cardiac Failure,Congestive Heart Failure
District,Province 1,Taplejung,1888,749,666,5,47,103,25,51,23
District,Province 1,Sankhuwasabha,1731,885,855,18,8,44,1,18,7
District,Province 1,Solukhumbu,2737,819,572,3,8,7,0,4,5
District,Province 1,Okhaldhunga,1283,1845,871,71,19,47,1,1,33
District,Province 1,Khotang,1853,1671,1154,21,13,39,18,11,6
District,Province 1,Bhojpur,1505,1742,982,10,8,47,1,0,17
District,Province 1,Dhankuta,1797,1127,568,0,19,153,0,4,7
District,Province 1,Terhathum,1493,742,632,21,4,7,2,0,8
District,Province 1,Panchthar,2254,865,295,3,1,37,1,1,1
District,Province 1,Ilam,7208,1056,847,10,7,21,5,3,9
District,Province 1,Jhapa,15510,5067,5550,642,459,1389,81,99,64
District,Province 1,Morang,17370,5148,8106,1052,641,414,181,191,428
District,Province 1,Sunsari,5816,2864,2088,19,2,19,1,76,20
District,Province 1,Udayapur,2681,2417,1715,70,14,207,0,4,1
District,Province 2,Saptari,3177,5566,2072,3,1,3,0,3,2
District,Province 2,Siraha,6817,4651,3065,59,34,186,64,16,71
District,Province 2,Dhunasa,5115,4417,1587,95,5,132,0,18,13
District,Province 2,Mohattari,5775,4268,2582,48,9,373,4,32,30
District,Province 2,Sarlahi,1363,2379,525,2,5,44,0,0,0
District,Province 2,Rautahat,3426,4115,1767,262,208,484,96,22,31
District,Province 2,Bara,2680,3855,1182,54,2,29,0,6,10
District,Province 2,Parsa,8692,3428,1468,55,38,358,49,55,65
District,Province 3,Dolakha,3078,2562,3986,26,50,34,29,40,38
District,Province 3,Sindhupalchok,3323,3912,4564,38,14,176,1,14,8
District,Province 3,Rasuwa,317,538,482,35,0,0,0,0,0
District,Province 3,Dhading,4466,3436,3442,90,343,87,5,80,75
District,Province 3,Nuwakot,2857,3535,2832,18,16,81,7,34,16
District,Province 3,Kathmandu,70621,14571,28465,7118,2575,2244,1951,2299,2392
District,Province 3,Bhaktapur,7808,2329,5427,673,89,245,46,48,24
District,Province 3,Lalitpur,18042,7807,9578,1472,1483,101,783,1031,50
District,Province 3,Kavrepalanchok,11327,5252,7780,6441,992,38,982,353,307
District,Province 3,Ramechhap,3275,2876,1460,29,48,74,0,55,53
District,Province 3,Sindhuli,4684,2268,934,2,8,45,0,2,31
District,Province 3,Makwanpur,2654,1849,1720,44,5,19,4,14,14
District,Province 3,Chitwan,27584,8288,12561,3661,2381,690,2103,1051,519
District,Gandaki Province,Gorkha,6131,3211,6198,120,753,24,13,29,203
District,Gandaki Province,Manang,194,52,16,1,0,0,0,0,0
District,Gandaki Province,Mustang,520,54,38,1,0,0,0,7,1
District,Gandaki Province,Myagdi,2232,995,1486,17,12,42,1,4,9
District,Gandaki Province,Kaski,26026,11182,15010,4343,3119,2288,4364,1008,1241
District,Gandaki Province,Lamjung,3867,3227,2664,29,5,11,5,6,12
District,Gandaki Province,Tanahu,4693,2050,2843,21,14,160,4,53,18
District,Gandaki Province,Nawalparasi East,2812,2180,868,23,52,41,0,0,4
District,Gandaki Province,Syangja,8795,3022,2208,40,20,72,22,8,27
District,Gandaki Province,Parbat,4291,1928,1488,15,14,23,1,16,7
District,Gandaki Province,Baglung,5026,2328,2684,196,152,281,68,21,27
District,Province 5,Rukum East,127,419,160,0,2,0,1,0,0
District,Province 5,Rolpa,881,1459,1281,12,14,77,0,8,2
District,Province 5,Pyuthan,3524,2673,2376,19,13,41,0,16,9
District,Province 5,Gulmi,3845,1107,2096,184,2,15,1,1,3
District,Province 5,Arghakhanchi,2739,2266,2139,85,58,46,51,27,125
District,Province 5,Palpa,10356,3527,4679,694,692,296,133,686,128
District,Province 5,Nawalparasi West,3750,3036,1730,67,13,653,0,6,3
District,Province 5,Rupandehi,12843,7716,8584,1218,762,857,816,315,492
District,Province 5,Kapilbastu,4643,4408,2944,51,18,38,2,0,21
District,Province 5,Dang,3743,4073,1629,11,16,42,2,13,46
District,Province 5,Banke,3872,4938,2412,122,49,164,92,38,161
District,Province 5,Bardiya,3838,3872,2274,139,4,47,6,1,3
District,Karnali Province,Dolpa,341,601,502,0,0,0,0,2,0
District,Karnali Province,Mugu,124,871,908,46,6,97,14,11,4
District,Karnali Province,Humla,131,1173,1372,16,34,125,0,0,0
District,Karnali Province,Jumla,424,1076,2126,59,42,98,2,53,18
District,Karnali Province,Kalikot,195,1965,1142,17,29,113,77,34,2
District,Karnali Province,Dailekh,922,5438,1750,19,41,74,9,0,2
District,Karnali Province,Jajarkot,667,1738,1913,7,1,15,1,3,14
District,Karnali Province,Rukum West,905,1667,1522,10,87,62,0,14,81
District,Karnali Province,Salyan,1184,4476,1735,0,0,37,0,40,157
District,Karnali Province,Surkhet,3935,4871,3993,3,16,28,0,0,6
District,Sudurpashchim Province,Bajura,344,2154,1806,0,3,53,0,0,0
District,Sudurpashchim Province,Bajhang,373,3147,1439,21,14,85,0,1,0
District,Sudurpashchim Province,Darchula,789,2875,1547,1,1,8,0,4,1
District,Sudurpashchim Province,Baitadi,586,2742,2306,20,0,23,1,0,0
District,Sudurpashchim Province,Dadeldhura,1143,4268,3298,20,8,0,0,9,11
District,Sudurpashchim Province,Doti,1185,3313,1686,32,43,281,0,16,29
District,Sudurpashchim Province,Achham,3314,4875,3234,32,92,238,34,13,285
District,Sudurpashchim Province,Kailali,4853,6705,6265,96,62,135,56,71,115
District,Sudurpashchim Province,Kanchanpur,1575,6585,2954,38,98,78,3,41,23